tyNum,Vmax10m,Vmax100m
7003,22.1,29.18
7004,18.45,24.36
7005,16.17,21.35
7010,17.52,23.13
7011,21.93,28.94
7012,17.49,23.09
7108,19.02,25.1
7114,29.22,38.57
7118,16.41,21.66
7204,22.89,30.22
7301,19.63,25.91
7304,20.94,27.63
7307,15.37,20.29
7310,17.98,23.73
7313,17.09,22.56
7315,15.33,20.24
7417,15.01,19.81
7419,16.74,22.1
7421,15.84,20.91
7422,15.44,20.38
7424,16.19,21.37
7426,20.78,27.43
7427,13.28,17.53
7506,18.13,23.93
7511,19.54,25.79
7514,28.28,37.33
7607,16.87,22.27
7616,24.72,32.63
7619,15.67,20.69
7701,19.49,25.73
7707,20.01,26.42
7710,18.75,24.75
7712,16.12,21.28
7801,17.95,23.69
7807,20.74,27.37
7905,15.41,20.34
7908,37.97,50.12
7907,21.92,28.93
7913,17.27,22.8
8004,21.38,28.22
8006,22.17,29.27
8009,19.11,25.22
8015,18.24,24.08
8103,17.58,23.21
8106,15.21,20.07
8111,16.63,21.95
8116,26.03,34.36
8205,18.22,24.05
8212,18.97,25.03
8304,14.67,19.36
8309,20.42,26.95
8402,24.02,31.71
8408,18.39,24.27
8411,25.96,34.27
8504,27.76,36.64
8516,14.97,19.76
8604,16.42,21.67
8607,25.01,33.01
8616,23.5,31.02
8621,15.24,20.11
8625,21.28,28.09
8719,15.31,20.22
8721,14.04,18.53
8802,15.65,20.66
8805,23.48,31.0
8817,21.73,28.68
8819,18.01,23.77
8903,16.4,21.65
8908,16.21,21.4
8926,14.0,18.47
9003,17.26,22.78
9006,20.37,26.89
9009,28.67,37.84
9012,13.42,17.72
9018,17.39,22.95
9107,20.94,27.64
9108,22.18,29.28
9111,18.74,24.73
9116,24.76,32.68
9119,23.21,30.63
9206,15.93,21.02
9212,19.46,25.69
9215,16.58,21.89
9302,16.91,22.32
9309,13.39,17.68
9315,28.43,37.52
9316,19.44,25.66
9403,15.65,20.66
9407,11.72,15.47
9413,16.64,21.97
9424,15.4,20.33
9502,13.18,17.4
9504,20.98,27.69
9505,19.09,25.2
9509,33.6,44.36
9610,18.51,24.44
9615,15.99,21.11
9624,14.44,19.06
9710,11.94,15.76
9801,12.21,16.12
9810,25.85,34.12
9902,19.12,25.24
9903,23.72,31.31
9905,19.91,26.29
9908,22.8,30.1
9909,17.39,22.95
9910,22.29,29.43
9913,18.4,24.29
9914,19.7,26.0
0013,23.36,30.83
0021,17.41,22.98
0104,30.01,39.62
0107,19.87,26.23
0116,22.05,29.1
0204,15.44,20.39
0208,19.82,26.16
0212,23.11,30.5
0218,15.31,20.21
0309,10.4,13.73
0313,20.72,27.36
0409,20.97,27.68
0411,18.4,24.28
0418,18.68,24.66
0428,14.19,18.73
0510,25.15,33.2
0518,18.14,23.95
0601,27.65,36.5
0605,17.32,22.86
0609,16.78,22.15
0707,22.97,30.32
0806,18.67,24.64
0809,22.47,29.66
0812,21.59,28.5
0814,11.19,14.77
0903,19.33,25.51
0904,18.41,24.31
0906,28.18,37.19
0907,15.71,20.74
0915,17.08,22.55
1006,19.1,25.21
1010,18.03,23.8
1011,20.13,26.57
1013,18.54,24.47
1103,15.44,20.37
1104,14.16,18.7
1205,20.66,27.27
1206,18.81,24.83
1208,17.05,22.51
1214,24.34,32.13
1308,21.23,28.02
1319,35.31,46.61
1329,15.71,20.73
1407,21.65,28.58
1510,26.49,34.97
1604,29.99,39.59
1608,18.03,23.8
1619,22.04,29.1
1622,27.99,36.95
1702,18.32,24.19
1707,17.23,22.75
1713,24.25,32.02
1714,24.08,31.78
1716,19.82,26.16
1720,16.0,21.12
1804,13.94,18.4
1806,16.46,21.73
1822,18.91,24.96
1823,15.72,20.75
1826,18.19,24.01
