Year,Vmax10m,Vmax100m
1970,16.35,21.58
1971,17.23,22.74
1972,18.4,24.29
1973,20.95,27.65
1974,16.86,22.26
1975,19.29,25.47
1976,17.88,23.6
1977,20.11,26.54
1978,16.89,22.3
1979,19.08,25.19
1980,19.52,25.77
1981,21.43,28.28
1982,17.61,23.24
1983,15.42,20.36
1984,21.48,28.36
1985,18.64,24.6
1986,24.35,32.14
1987,11.99,15.83
1988,22.63,29.87
1989,-999.0,-999.0
1990,21.34,28.17
1991,23.78,31.39
1992,17.37,22.93
1993,21.69,28.63
1994,14.45,19.07
1995,22.44,29.61
1996,13.59,17.93
1997,14.56,19.22
1998,20.16,26.61
1999,20.62,27.22
2000,17.78,23.47
2001,18.95,25.01
2002,19.01,25.09
2003,22.76,30.05
2004,17.27,22.8
2005,18.15,23.96
2006,26.47,34.94
2007,18.02,23.79
2008,15.05,19.87
2009,17.43,23.01
2010,21.43,28.29
2011,15.28,20.17
2012,17.54,23.15
2013,20.0,26.39
2014,17.07,22.53
2015,23.73,31.33
2016,19.21,25.35
2017,17.98,23.73
2018,14.75,19.47
