Year,Vmax10m,Vmax100m
1970,21.67,28.6
1971,22.05,29.1
1972,22.42,29.6
1973,21.38,28.22
1974,20.11,26.55
1975,25.63,33.83
1976,21.57,28.48
1977,16.7,22.04
1978,21.5,28.38
1979,30.99,40.9
1980,24.06,31.76
1981,22.5,29.7
1982,19.03,25.11
1983,18.55,24.49
1984,22.45,29.64
1985,24.42,32.23
1986,27.59,36.42
1987,14.42,19.04
1988,26.39,34.83
1989,15.74,20.77
1990,29.29,38.66
1991,26.38,34.82
1992,19.65,25.94
1993,30.13,39.78
1994,17.67,23.33
1995,31.88,42.08
1996,22.68,29.94
1997,19.05,25.15
1998,24.61,32.49
1999,21.98,29.01
2000,21.77,28.73
2001,24.08,31.78
2002,24.02,31.71
2003,29.28,38.64
2004,19.62,25.9
2005,21.45,28.32
2006,28.76,37.96
2007,22.35,29.5
2008,21.33,28.15
2009,25.63,33.84
2010,21.96,28.99
2011,23.16,30.57
2012,21.73,28.68
2013,29.0,38.28
2014,21.02,27.74
2015,28.86,38.1
2016,25.11,33.15
2017,21.61,28.53
2018,17.47,23.06
