Year,Vmax10m,Vmax100m
1970,19.65,25.94
1971,27.29,36.03
1972,16.31,21.53
1973,22.04,29.1
1974,20.86,27.53
1975,19.96,26.35
1976,28.07,37.06
1977,23.97,31.65
1978,19.94,26.33
1979,-999.0,-999.0
1980,22.2,29.31
1981,19.45,25.68
1982,23.63,31.2
1983,13.89,18.34
1984,20.15,26.6
1985,24.89,32.86
1986,21.03,27.76
1987,20.94,27.65
1988,-999.0,-999.0
1989,20.38,26.9
1990,23.76,31.36
1991,19.57,25.83
1992,21.92,28.93
1993,-999.0,-999.0
1994,21.48,28.36
1995,16.89,22.29
1996,18.97,25.04
1997,21.29,28.11
1998,18.24,24.08
1999,20.18,26.64
2000,19.03,25.11
2001,26.13,34.49
2002,16.83,22.22
2003,15.54,20.51
2004,26.88,35.48
2005,23.87,31.51
2006,24.72,32.63
2007,24.46,32.29
2008,25.23,33.31
2009,24.08,31.79
2010,18.69,24.67
2011,16.47,21.73
2012,20.57,27.15
2013,21.76,28.72
2014,21.01,27.74
2015,23.74,31.33
2016,22.11,29.19
2017,21.38,28.23
2018,19.17,25.3
