Year,Vmax10m,Vmax100m
1970,14.91,19.68
1971,20.69,27.31
1972,15.53,20.5
1973,17.8,23.5
1974,15.44,20.38
1975,20.5,27.06
1976,20.94,27.64
1977,19.04,25.13
1978,14.88,19.64
1979,8.98,11.86
1980,16.76,22.12
1981,17.0,22.45
1982,18.87,24.91
1983,10.95,14.45
1984,15.4,20.32
1985,16.42,21.68
1986,15.23,20.1
1987,18.67,24.64
1988,-999.0,-999.0
1989,14.2,18.75
1990,20.05,26.47
1991,15.54,20.52
1992,17.17,22.67
1993,-999.0,-999.0
1994,20.69,27.31
1995,12.1,15.97
1996,19.87,26.23
1997,19.16,25.29
1998,16.88,22.28
1999,16.47,21.74
2000,19.31,25.49
2001,17.75,23.43
2002,15.1,19.93
2003,14.05,18.55
2004,17.53,23.14
2005,19.9,26.27
2006,18.62,24.58
2007,18.36,24.24
2008,18.28,24.14
2009,16.5,21.79
2010,19.61,25.89
2011,14.36,18.96
2012,16.89,22.3
2013,18.37,24.25
2014,18.09,23.88
2015,20.69,27.31
2016,18.23,24.06
2017,17.23,22.74
2018,15.32,20.22
