Year,Vmax10m,Vmax100m
1970,20.82,27.48
1971,28.18,37.2
1972,18.92,24.98
1973,25.67,33.88
1974,21.39,28.23
1975,26.42,34.87
1976,23.82,31.44
1977,21.96,28.99
1978,23.48,30.99
1979,31.37,41.41
1980,17.81,23.51
1981,22.43,29.61
1982,18.88,24.93
1983,26.26,34.67
1984,23.78,31.39
1985,20.58,27.16
1986,23.19,30.61
1987,18.27,24.12
1988,19.63,25.91
1989,26.2,34.58
1990,16.98,22.42
1991,24.74,32.66
1992,20.17,26.62
1993,28.01,36.97
1994,18.95,25.01
1995,23.72,31.31
1996,17.69,23.35
1997,27.59,36.42
1998,17.86,23.57
1999,24.87,32.83
2000,18.5,24.42
2001,23.51,31.03
2002,21.73,28.69
2003,24.16,31.89
2004,18.41,24.3
2005,-999.0,-999.0
2006,18.45,24.35
2007,18.75,24.74
2008,25.29,33.38
2009,26.37,34.8
2010,16.91,22.32
2011,17.75,23.43
2012,30.11,39.75
2013,27.02,35.67
2014,-999.0,-999.0
2015,20.25,26.72
2016,22.8,30.1
2017,30.73,40.57
2018,29.26,38.62
