Year,Vmax10m,Vmax100m
1970,21.68,28.62
1971,21.03,27.76
1972,22.77,30.05
1973,26.83,35.42
1974,21.25,28.05
1975,22.83,30.13
1976,20.82,27.48
1977,22.61,29.85
1978,22.08,29.15
1979,24.16,31.89
1980,32.19,42.49
1981,22.23,29.35
1982,21.39,28.24
1983,28.21,37.24
1984,24.94,32.93
1985,21.15,27.92
1986,29.89,39.46
1987,21.7,28.65
1988,23.72,31.3
1989,-999.0,-999.0
1990,30.09,39.71
1991,33.19,43.8
1992,26.34,34.77
1993,25.35,33.47
1994,25.99,34.31
1995,29.43,38.85
1996,26.23,34.62
1997,-999.0,-999.0
1998,25.12,33.16
1999,28.25,37.29
2000,24.77,32.7
2001,26.09,34.43
2002,21.72,28.67
2003,21.53,28.41
2004,25.07,33.1
2005,22.41,29.58
2006,30.27,39.96
2007,23.95,31.62
2008,19.55,25.81
2009,25.76,34.0
2010,31.12,41.07
2011,21.08,27.82
2012,23.49,31.01
2013,19.39,25.6
2014,21.45,28.32
2015,25.19,33.25
2016,25.97,34.28
2017,20.05,26.47
2018,18.34,24.21
