Year,Vmax10m,Vmax100m
1970,17.27,22.8
1971,24.56,32.42
1972,22.36,29.52
1973,21.85,28.84
1974,17.54,23.15
1975,17.98,23.73
1976,15.96,21.07
1977,19.89,26.26
1978,18.86,24.9
1979,-999.0,-999.0
1980,19.5,25.73
1981,21.26,28.07
1982,18.48,24.4
1983,-999.0,-999.0
1984,21.62,28.54
1985,19.38,25.58
1986,15.06,19.88
1987,23.29,30.74
1988,-999.0,-999.0
1989,21.15,27.91
1990,24.88,32.84
1991,17.07,22.54
1992,18.92,24.98
1993,-999.0,-999.0
1994,21.04,27.77
1995,14.14,18.67
1996,18.8,24.81
1997,20.47,27.02
1998,15.85,20.92
1999,13.8,18.21
2000,21.37,28.21
2001,22.61,29.84
2002,21.79,28.76
2003,16.3,21.52
2004,20.11,26.54
2005,20.43,26.97
2006,26.7,35.24
2007,27.62,36.46
2008,21.29,28.1
2009,23.51,31.03
2010,18.0,23.76
2011,14.45,19.07
2012,22.46,29.65
2013,24.84,32.78
2014,17.95,23.7
2015,17.79,23.49
2016,15.05,19.86
2017,20.14,26.58
2018,29.4,38.8
