Year,Vmax10m,Vmax100m
1970,19.64,25.92
1971,21.2,27.98
1972,22.03,29.08
1973,25.14,33.18
1974,19.34,25.53
1975,25.47,33.62
1976,18.76,24.76
1977,20.43,26.97
1978,18.87,24.91
1979,25.28,33.37
1980,27.06,35.71
1981,22.37,29.53
1982,19.74,26.06
1983,23.53,31.06
1984,21.57,28.47
1985,21.9,28.91
1986,29.04,38.33
1987,18.2,24.03
1988,24.32,32.1
1989,-999.0,-999.0
1990,28.65,37.81
1991,32.93,43.46
1992,21.77,28.73
1993,25.02,33.02
1994,22.53,29.74
1995,25.86,34.14
1996,18.18,24.0
1997,-999.0,-999.0
1998,22.0,29.04
1999,25.22,33.29
2000,20.06,26.48
2001,24.38,32.18
2002,20.73,27.37
2003,20.75,27.39
2004,20.81,27.47
2005,23.92,31.58
2006,24.06,31.76
2007,20.03,26.44
2008,-999.0,-999.0
2009,23.41,30.9
2010,26.29,34.7
2011,18.9,24.95
2012,20.79,27.44
2013,21.99,29.03
2014,20.56,27.14
2015,24.98,32.98
2016,20.6,27.2
2017,19.38,25.58
2018,16.95,22.38
