Year,Vmax10m,Vmax100m
1970,24.4,32.21
1971,27.86,36.78
1972,28.09,37.08
1973,26.21,34.6
1974,26.0,34.32
1975,24.69,32.59
1976,23.61,31.16
1977,25.24,33.31
1978,26.13,34.5
1979,19.62,25.89
1980,22.94,30.28
1981,21.49,28.37
1982,28.48,37.59
1983,27.03,35.68
1984,24.15,31.88
1985,23.48,30.99
1986,27.62,36.46
1987,19.89,26.25
1988,20.75,27.38
1989,20.05,26.46
1990,22.7,29.97
1991,25.25,33.33
1992,24.6,32.47
1993,20.63,27.23
1994,24.77,32.7
1995,22.05,29.11
1996,24.24,32.0
1997,25.83,34.1
1998,20.68,27.3
1999,20.51,27.07
2000,17.29,22.83
2001,23.72,31.31
2002,21.51,28.39
2003,23.01,30.38
2004,-999.0,-999.0
2005,22.19,29.3
2006,18.54,24.47
2007,20.18,26.63
2008,20.26,26.74
2009,25.54,33.71
2010,24.41,32.22
2011,24.71,32.61
2012,29.66,39.15
2013,26.79,35.36
2014,26.58,35.09
2015,25.08,33.11
2016,23.76,31.36
2017,19.78,26.11
2018,23.39,30.87
