Year,Vmax10m,Vmax100m
1970,18.59,24.54
1971,18.62,24.58
1972,20.02,26.43
1973,21.8,28.78
1974,17.14,22.62
1975,21.84,28.83
1976,17.48,23.08
1977,19.01,25.09
1978,17.27,22.8
1979,20.71,27.33
1980,22.57,29.79
1981,21.85,28.84
1982,18.39,24.27
1983,18.48,24.4
1984,20.81,27.47
1985,19.72,26.03
1986,23.73,31.33
1987,14.52,19.17
1988,20.71,27.33
1989,-999.0,-999.0
1990,26.96,35.58
1991,28.85,38.08
1992,19.28,25.45
1993,25.58,33.77
1994,18.37,24.24
1995,23.96,31.62
1996,18.37,24.25
1997,-999.0,-999.0
1998,20.98,27.7
1999,25.13,33.17
2000,16.9,22.31
2001,20.3,26.8
2002,18.81,24.83
2003,19.25,25.41
2004,20.42,26.95
2005,19.76,26.08
2006,19.02,25.1
2007,19.54,25.79
2008,13.81,18.23
2009,19.64,25.93
2010,24.65,32.54
2011,15.11,19.94
2012,18.09,23.87
2013,21.13,27.9
2014,18.75,24.75
2015,26.25,34.64
2016,18.66,24.62
2017,17.84,23.55
2018,14.99,19.79
