tyNum,Vmax10m,Vmax100m
7003,15.37,20.29
7004,19.64,25.92
7010,16.8,22.18
7011,17.87,23.59
7114,17.34,22.89
7115,21.2,27.98
7122,18.12,23.92
7204,22.03,29.08
7301,25.14,33.18
7304,20.58,27.17
7310,17.19,22.69
7315,21.98,29.01
7412,18.04,23.81
7419,14.71,19.42
7426,19.34,25.53
7503,21.61,28.52
7506,18.88,24.92
7511,25.47,33.62
7514,16.95,22.38
7607,15.31,20.21
7613,16.72,22.08
7616,18.76,24.76
7701,20.43,26.97
7705,17.87,23.59
7707,14.69,19.38
7807,18.87,24.91
7811,13.67,18.05
7908,20.17,26.63
7907,25.28,33.37
8004,18.65,24.62
8006,21.55,28.45
8009,18.83,24.85
8015,27.06,35.71
8107,15.51,20.47
8116,22.37,29.53
8205,18.53,24.46
8209,18.48,24.39
8212,19.74,26.06
8304,23.53,31.06
8402,16.35,21.58
8408,15.99,21.1
8411,21.57,28.47
8504,17.93,23.67
8510,21.9,28.91
8516,12.25,16.17
8607,21.12,27.88
8616,29.04,38.33
8712,18.2,24.03
8719,14.89,19.66
8805,24.32,32.1
8817,22.36,29.51
8819,14.95,19.74
9003,20.06,26.47
9006,28.65,37.81
9009,19.47,25.7
9012,20.49,27.05
9018,22.94,30.28
9107,32.93,43.46
9110,14.5,19.14
9116,18.58,24.53
9119,27.76,36.65
9212,21.77,28.73
9215,21.24,28.04
9315,25.02,33.02
9406,22.53,29.74
9407,14.29,18.86
9413,20.3,26.79
9502,20.02,26.43
9504,25.86,34.14
9505,16.41,21.65
9509,23.33,30.8
9607,18.18,24.0
9608,17.29,22.83
9610,17.36,22.91
9801,14.79,19.52
9810,22.0,29.04
9902,12.86,16.97
9903,21.39,28.23
9905,22.29,29.42
9908,15.17,20.02
9909,21.94,28.96
9910,15.77,20.81
9913,14.96,19.75
9914,25.22,33.29
0010,20.06,26.48
0013,17.79,23.48
0102,16.13,21.29
0104,18.99,25.06
0105,16.68,22.02
0116,24.38,32.18
0208,19.35,25.54
0212,20.73,27.37
0309,17.32,22.86
0313,20.75,27.39
0409,15.5,20.45
0411,20.71,27.34
0418,20.81,27.47
0428,14.89,19.65
0510,23.92,31.58
0513,20.59,27.18
0519,21.8,28.77
0601,24.06,31.76
0605,20.06,26.48
0609,18.06,23.83
0707,20.03,26.44
0708,15.34,20.25
0709,17.0,22.43
0903,23.41,30.9
0904,16.56,21.87
0906,18.08,23.87
1006,20.46,27.01
1008,11.27,14.88
1010,19.77,26.09
1011,23.27,30.71
1013,26.29,34.7
1103,18.9,24.95
1111,17.54,23.15
1205,18.14,23.94
1214,20.79,27.44
1308,19.75,26.06
1319,21.99,29.03
1407,20.56,27.14
1510,24.98,32.98
1513,16.65,21.98
1521,18.37,24.24
1601,18.24,24.08
1604,18.0,23.76
1608,17.4,22.97
1614,20.6,27.2
1617,17.51,23.11
1619,16.92,22.33
1622,18.7,24.68
1702,16.96,22.39
1707,17.27,22.8
1709,16.1,21.25
1713,11.05,14.59
1716,19.38,25.58
1717,12.26,16.18
1804,16.42,21.67
1806,16.95,22.38
