tyNum,Vmax10m,Vmax100m
7005,14.57,19.23
7013,24.4,32.21
7102,16.18,21.36
7106,18.61,24.56
7109,27.86,36.78
7113,18.62,24.58
7125,19.84,26.19
7126,23.55,31.09
7202,20.33,26.83
7210,27.01,35.65
7216,15.63,20.63
7220,28.09,37.08
7307,23.13,30.53
7310,22.7,29.97
7311,26.21,34.6
7312,14.72,19.43
7313,25.99,34.3
7314,20.11,26.55
7318,19.12,25.24
7405,17.85,23.57
7406,26.0,34.32
7411,19.56,25.82
7419,19.86,26.22
7421,23.09,30.47
7422,13.53,17.85
7423,18.74,24.73
7427,18.18,23.99
7506,22.35,29.51
7510,24.69,32.59
7513,19.87,26.23
7515,21.57,28.47
7610,21.58,28.49
7614,17.63,23.27
7619,23.61,31.16
7702,19.02,25.11
7703,25.24,33.31
7709,14.39,18.99
7712,20.94,27.64
7807,20.02,26.43
7809,16.5,21.78
7812,26.13,34.5
7817,17.05,22.51
7818,26.02,34.35
7820,17.73,23.4
7905,19.62,25.89
7908,17.31,22.85
7914,18.1,23.89
8005,22.94,30.28
8008,17.23,22.74
8007,17.97,23.72
8011,18.86,24.9
8014,22.66,29.91
8103,13.88,18.33
8105,18.01,23.77
8106,16.23,21.42
8107,16.6,21.91
8111,16.77,22.14
8113,21.49,28.37
8120,12.26,16.18
8205,16.83,22.21
8208,19.04,25.13
8217,28.48,37.59
8302,18.93,24.99
8303,27.03,35.68
8311,23.12,30.52
8314,15.4,20.33
8402,19.38,25.59
8404,16.74,22.09
8408,18.3,24.16
8410,24.15,31.88
8503,17.7,23.37
8515,15.56,20.54
8517,23.48,30.99
8518,19.49,25.72
8521,17.92,23.66
8604,20.11,26.55
8609,16.12,21.28
8613,17.13,22.61
8616,27.62,36.46
8621,19.87,26.22
8702,19.89,26.25
8710,18.27,24.12
8823,20.75,27.38
8824,18.69,24.68
8903,16.62,21.94
8905,17.9,23.63
8907,17.77,23.46
8908,20.05,26.46
8926,16.48,21.75
8929,18.57,24.51
9004,22.7,29.97
9016,12.4,16.37
9025,18.87,24.91
9103,15.16,20.01
9106,21.15,27.92
9108,20.52,27.09
9111,25.25,33.33
9204,18.16,23.97
9205,21.39,28.23
9207,24.6,32.47
9215,15.19,20.05
9302,20.63,27.23
9303,18.28,24.13
9309,19.17,25.3
9316,15.72,20.75
9318,17.38,22.95
9323,16.91,22.33
9403,20.01,26.41
9404,17.4,22.97
9405,19.21,25.36
9411,20.14,26.59
9419,24.77,32.7
9422,18.52,24.45
9424,20.8,27.46
9506,16.75,22.11
9508,18.63,24.59
9511,22.05,29.11
9515,20.35,26.86
9516,17.74,23.41
9521,16.16,21.34
9606,21.59,28.5
9612,19.28,25.45
9615,22.83,30.14
9618,24.24,32.0
9713,25.83,34.1
9803,20.68,27.3
9903,20.51,27.07
0016,17.29,22.83
0103,23.72,31.31
0107,21.07,27.81
0110,17.44,23.02
0114,20.41,26.94
0214,21.51,28.39
0218,18.04,23.81
0220,18.08,23.87
0308,21.19,27.97
0307,20.0,26.4
0312,23.01,30.38
0313,12.44,16.42
0320,19.01,25.09
0508,22.19,29.3
0518,20.69,27.31
0602,18.54,24.47
0605,15.24,20.12
0606,17.69,23.35
0703,19.42,25.63
0707,15.45,20.39
0714,20.18,26.63
0715,13.78,18.19
0801,20.21,26.67
0809,20.26,26.74
0814,18.82,24.85
0817,16.61,21.92
0905,13.91,18.36
0907,25.54,33.71
0913,16.32,21.55
0915,16.98,22.41
0917,19.3,25.48
1002,17.7,23.37
1003,24.41,32.22
1104,21.9,28.9
1108,21.99,29.03
1117,24.71,32.61
1119,16.38,21.62
1205,20.36,26.88
1206,10.6,13.99
1208,16.32,21.54
1213,29.66,39.15
1305,20.97,27.68
1306,26.79,35.36
1309,21.98,29.01
1311,17.98,23.74
1330,18.33,24.19
1409,26.58,35.09
1415,25.07,33.09
1508,20.77,27.41
1522,25.08,33.11
1603,19.5,25.74
1608,23.76,31.36
1621,22.77,30.06
1713,14.43,19.04
1720,19.78,26.11
1804,18.08,23.86
1809,18.7,24.69
1816,23.39,30.87
1822,22.53,29.74
1823,19.07,25.17
